,period,dc:identifier,prism:doi,IIHH,GOV,CC
0,"<Aug,2022",SCOPUS_ID:85094195209,10.1016/j.jenvman.2020.111508,1,1,1
1,"<Aug,2022",SCOPUS_ID:84949660557,10.1016/j.gloenvcha.2015.11.007,1,0,0
2,"<Aug,2022",SCOPUS_ID:85060349731,10.1016/j.ocecoaman.2019.01.011,0,1,0
3,"<Aug,2022",SCOPUS_ID:85084995890,10.1016/j.envsci.2020.05.003,0,1,0
4,"<Aug,2022",SCOPUS_ID:84981719260,10.1016/j.scs.2016.08.013,1,1,1
5,"<Aug,2022",SCOPUS_ID:84970045020,10.1016/j.crm.2015.11.003,0,1,0
6,"<Aug,2022",SCOPUS_ID:85123584664,10.1016/j.crm.2022.100403,1,1,0
7,"<Aug,2022",SCOPUS_ID:84975144640,10.1080/00291951.2016.1194317,0,0,1
8,"<Aug,2022",SCOPUS_ID:85120790611,10.1088/1748-9326/ac36f7,1,0,0
9,"<Aug,2022",SCOPUS_ID:85087360293,10.33997/j.afs.2020.33.2.008,1,0,0
10,"<Aug,2022",SCOPUS_ID:84991486050,,0,0,1
11,"<Aug,2022",SCOPUS_ID:84991486050,,1,0,0
12,"<Aug,2022",SCOPUS_ID:85062847733,10.3389/fenvs.2019.00002,0,1,1
13,"<Aug,2022",SCOPUS_ID:85065544729,10.3390/ijerph16040672,1,0,0
14,"<Aug,2022",SCOPUS_ID:85100964591,10.1080/13549839.2021.1884669,0,0,1
15,"<Aug,2022",SCOPUS_ID:85105452505,10.1080/00049182.2021.1917327,0,0,1
16,"<Aug,2022",SCOPUS_ID:84897028791,10.1007/s10113-013-0442-6,0,1,0
17,"<Aug,2022",SCOPUS_ID:85061646035,10.1007/s10584-019-02383-z,0,1,0
18,"<Aug,2022",SCOPUS_ID:85078105925,10.1007/s10668-020-00598-0,1,0,0
19,"<Aug,2022",SCOPUS_ID:85087291126,10.1007/s10668-020-00821-y,1,0,0
20,"<Aug,2022",SCOPUS_ID:85113730170,10.1007/s11027-021-09966-1,0,0,1
21,"<Aug,2022",SCOPUS_ID:85116492770,10.1007/s11625-021-01036-4,1,0,0
22,"<Aug,2022",SCOPUS_ID:85120646048,10.1038/s41558-021-01222-3,1,0,0
23,"<Aug,2022",SCOPUS_ID:84866377501,10.3390/su1030363,0,0,1
24,"<Aug,2022",SCOPUS_ID:84859158216,10.1016/j.jhg.2011.12.002,1,0,1
25,"<Aug,2022",SCOPUS_ID:85099507175,10.1016/j.envdev.2020.100606,1,1,1
26,"<Aug,2022",SCOPUS_ID:84988447141,10.1080/21683565.2016.1215368,0,0,1
27,"<Aug,2022",SCOPUS_ID:85097952888,10.1088/1748-9326/abc588,1,1,1
