Factor_Strategy_RGX,Constraint_Type,Tatiana_Factor_Strategy,Tatiana_Category
years [a-z]* school[a-z]*,Human Capacity,Education,Individual AC
years [a-z]* farming,Human Capacity,Farming Experience,Individual AC
worker institution,Governance&Institutions,Government Support,Institutional AC - Formal Institutions
window of opportunit[a-z]*,Tcca-Specific ,TCCA-specific ,TCCA-specific 
weather information,Information&Awareness,Access To Information,Knowledge and Information
watershed [a-z]* program[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions
availability water,Technology&Infrastructure,Access To Irrigation,Individual AC
water allocation,Technology&Infrastructure,Access To Irrigation,Individual AC
water distribution,Technology&Infrastructure,Access To Irrigation,Individual AC
water availability,Technology&Infrastructure,Access To Irrigation,Individual AC
water conflict,Technology&Infrastructure,Access To Irrigation,Individual AC
water [a-z]* consumption[a-z]*,Technology&Infrastructure,Farm Characteristics,Individual AC
water [a-z]* availab[a-z]*,Technology&Infrastructure,Farm Characteristics,Individual AC
water [a-z]* access[a-z]*,Technology&Infrastructure,Farm Characteristics,Individual AC
vulnerab[a-z]* build[a-z]*,Hazard,Damage Experience,Hazard Experience
vulnerab[a-z]* [a-z]* household[a-z]*,Economic&Financial,Economic Factors,Individual AC
viral uptake(s|),Tcca-Specific ,TCCA-specific ,TCCA-specific 
viral spread[a-z]*,Tcca-Specific ,TCCA-specific ,TCCA-specific 
viral adoption(s|),Tcca-Specific ,TCCA-specific ,TCCA-specific 
uncertainty [a-z]* climate,Psychological,Psychological Drivers,Psychological factors
unaffordable [a-z]* cost,Economic&Financial,Economic Factors,Individual AC
travel[a-z]* cost[a-z]*,Economic&Financial,Access To Market Input Output,Individual AC
traditional authority,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions
traditional authorit[a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions
technological device,Technology&Infrastructure,Access To Technology,Technology
technical skill,Human Capacity,Farming Experience,Individual AC
tailor policies,Governance&Institutions,Government Support,Institutional AC - Formal Institutions
support[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions
subsistence[a-z]* farm[a-z]*,Economic&Financial,Economic Factors,Individual AC
subsistence [a-z]* agricultur[a-z]*,Economic&Financial,Economic Factors,Individual AC
subsid[a-z]* farm[a-z]*,Economic&Financial,Farm Characteristics,Individual AC
subsid[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions
structural change(s|),Tcca-Specific ,TCCA-specific ,TCCA-specific 
storage facility,Technology&Infrastructure,Access To Infrastructure,Individual AC
state government[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions
soil salin[a-z]*,Hazard,Damage Experience,Hazard Experience
soil infertil[a-z]*,Hazard,Damage Experience,Hazard Experience
soil quality,Hazard,Damage Experience,Hazard Experience
quality soil,Hazard,Damage Experience,Hazard Experience
